,Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,Team,FK - FD
0,k1Ng,viper kayo ,48,1.36,267.5,1.38,83%,170.5,0.92,0.48,0.10,0.02,34%,10%,1/10,23,44,32,23,5,1,T1,4
1,Shao,fade sage astra ,182,1.29,202.6,1.63,87%,129.8,0.75,0.35,0.10,0.05,37%,24%,9/38,23,137,84,64,18,9,NAVI,9
2,Leo,sova sage fade ,307,1.28,225.0,1.41,81%,143.2,0.79,0.33,0.05,0.02,19%,27%,13/49,25,243,172,100,15,7,FNC,8
3,mwzera,fade skye sova ,76,1.26,255.3,1.31,76%,166.0,0.93,0.32,0.09,0.07,20%,22%,2/9,34,71,54,24,7,5,FUR,2
4,Cloud,sova ,97,1.26,233.4,1.21,79%,151.7,0.82,0.14,0.13,0.05,32%,14%,2/14,26,80,66,14,13,5,GX,8
5,trexx,sova ,46,1.24,275.0,1.7,76%,181.2,1.00,0.20,0.07,0.09,32%,,0/8,27,46,27,9,3,4,VIT,-1
6,MaKo,viper astra omen ,276,1.23,240.8,1.25,79%,154.7,0.79,0.59,0.12,0.07,26%,14%,5/37,24,219,175,163,32,20,DRX,12
7,sh1n,viper fade raze ,103,1.22,276.4,1.31,75%,169.3,0.94,0.27,0.19,0.06,27%,50%,3/6,25,97,74,28,20,6,KC,14
8,Shyy,killjoy ,125,1.22,237.3,1.38,78%,154.8,0.87,0.20,0.16,0.02,21%,15%,2/13,30,109,79,25,20,3,KRÜ,17
9,Ethan,yoru kayo breach ,89,1.21,237.5,1.16,81%,150.7,0.80,0.54,0.12,0.04,16%,,0/7,24,71,61,48,11,4,NRG,7
10,Nivera,omen astra ,103,1.20,262.8,1.33,82%,158.7,0.90,0.36,0.18,0.09,33%,6%,1/16,23,93,70,37,19,9,KC,10
11,Zyppan,kayo ,182,1.20,201.2,1.19,79%,136.6,0.73,0.46,0.12,0.06,36%,18%,2/11,26,133,112,83,22,11,NAVI,11
12,CHICHOO,killjoy viper ,71,1.19,253.0,1.27,69%,173.2,0.87,0.18,0.13,0.04,24%,44%,4/9,23,62,49,13,9,3,EDG,6
13,crashies,sova killjoy breach ,184,1.18,222.8,1.28,76%,144.1,0.80,0.30,0.09,0.04,21%,19%,5/26,33,147,115,56,16,8,NRG,8
14,leaf,cypher killjoy viper ,89,1.17,233.8,1.24,76%,161.2,0.81,0.29,0.07,0.08,26%,13%,1/8,21,72,58,26,6,7,G2,-1
15,Twisten,jett raze ,104,1.17,263.8,1.36,68%,171.5,0.95,0.15,0.17,0.14,23%,17%,2/12,29,99,73,16,18,15,VIT,3
16,Less,viper killjoy ,380,1.15,227.4,1.22,75%,159.1,0.82,0.25,0.11,0.06,28%,20%,12/60,27,312,255,95,42,24,LOUD,18
17,Derke,jett raze ,307,1.14,256.6,1.25,72%,168.9,0.89,0.19,0.22,0.20,25%,13%,2/15,32,274,220,58,68,60,FNC,8
18,nukkye,breach sage ,97,1.13,194.8,1.17,81%,132.3,0.70,0.46,0.06,0.05,29%,,0/7,20,68,58,45,6,5,GX,1
19,Xeppaa,skye sova ,89,1.12,229.6,1.24,79%,138.1,0.87,0.28,0.10,0.08,23%,50%,3/6,21,77,62,25,9,7,C9,2
20,foxz,skye kayo fade ,157,1.12,217.1,1.13,72%,146.1,0.74,0.31,0.08,0.07,23%,4%,1/26,21,116,103,49,12,11,FS,1
21,cNed,jett raze ,182,1.12,239.4,1.17,73%,156.6,0.80,0.20,0.15,0.11,22%,18%,2/11,24,146,125,37,27,20,FUT,7
22,ardiis,sage jett killjoy ,184,1.12,228.5,1.14,77%,153.6,0.77,0.27,0.20,0.12,20%,5%,1/20,29,142,125,49,36,22,NAVI,14
23,s0m,viper omen astra ,184,1.12,212.0,1.14,81%,138.3,0.73,0.45,0.08,0.10,29%,23%,3/13,24,135,118,82,15,18,NRG,-3
24,nAts,viper cypher ,41,1.12,258.0,1.33,78%,154.6,0.98,0.32,0.00,0.12,35%,,0/8,26,40,30,13,0,5,TL,-5
25,aspas,jett ,380,1.12,224.3,1.18,72%,142.7,0.80,0.17,0.17,0.11,26%,13%,6/48,30,305,258,65,63,42,LEV,21
26,yay,chamber sage jett ,89,1.11,201.6,1.24,71%,127.4,0.75,0.15,0.15,0.12,29%,8%,1/13,19,67,54,13,13,11,BLD,2
27,Chronicle,breach raze kayo ,307,1.11,202.7,1.1,76%,131.1,0.71,0.44,0.08,0.08,24%,19%,4/21,28,218,198,135,25,24,FNC,1
28,qRaxs,kayo fade ,107,1.11,212.6,1.13,77%,144.5,0.74,0.47,0.05,0.01,22%,63%,5/8,25,79,70,50,5,1,FUT,4
29,qw1,neon jett ,107,1.11,259.6,1.21,71%,159.3,0.92,0.19,0.20,0.16,21%,21%,3/14,31,98,81,20,21,17,FF,4
30,frz,killjoy cypher ,45,1.10,223.0,1.16,78%,148.4,0.82,0.29,0.11,0.04,34%,,0/8,19,37,32,13,5,2,MIBR,3
31,MOLSI,raze kayo fade ,104,1.10,234.4,1.22,87%,147.2,0.86,0.51,0.07,0.05,25%,,0/9,27,89,73,53,7,5,APK,2
32,kiNgg,kayo viper breach ,125,1.10,211.3,1.16,75%,147.9,0.76,0.42,0.11,0.08,29%,38%,6/16,27,95,82,52,14,10,LEV,4
33,Alfajer,killjoy cypher ,307,1.09,201.1,1.18,77%,138.2,0.72,0.21,0.07,0.06,27%,14%,6/44,21,221,187,66,21,18,FNC,3
34,Emman,reyna kayo ,40,1.09,233.0,1.1,83%,159.7,0.80,0.45,0.10,0.08,35%,,0/5,21,32,29,18,4,3,VAL,1
35,keloqz,jett ,42,1.08,251.5,1.15,76%,155.9,0.90,0.12,0.24,0.17,36%,,0/6,23,38,33,5,10,7,DVM,3
36,murizzz,breach kayo ,45,1.08,199.5,1.03,71%,132.5,0.71,0.58,0.11,0.11,34%,33%,1/3,17,32,31,26,5,5,RETA,0
37,Mixwell,breach kayo ,42,1.08,223.0,0.88,79%,137.5,0.71,0.62,0.07,0.05,25%,33%,1/3,16,30,34,26,3,2,TH,1
38,TS,astra brimstone ,48,1.08,193.0,1.16,75%,116.1,0.77,0.50,0.08,0.13,13%,,0/5,27,37,32,24,4,6,ODG,-2
39,dgzin,neon jett ,76,1.07,233.3,1.21,71%,146.2,0.84,0.18,0.21,0.17,26%,13%,1/8,27,64,53,14,16,13,FUR,3
40,Tacolilla,jett raze ,125,1.07,222.8,1.05,68%,136.9,0.73,0.18,0.18,0.18,15%,33%,3/9,22,91,87,23,23,22,FS,1
41,ceNder,cypher killjoy ,104,1.07,233.8,1.16,70%,150.9,0.82,0.18,0.09,0.09,29%,20%,4/20,24,85,73,19,9,9,VIT,0
42,BcJ,astra omen ,89,1.06,192.3,0.93,78%,123.0,0.63,0.56,0.04,0.13,16%,17%,2/12,17,56,60,50,4,12,M80,-8
43,JessieVash,sova fade ,79,1.06,258.0,1.06,75%,170.1,0.90,0.32,0.11,0.13,31%,10%,1/10,21,71,67,25,9,10,TS,-1
44,invy,kayo breach killjoy ,79,1.06,200.5,1.0,75%,127.2,0.73,0.38,0.04,0.10,24%,33%,4/12,21,58,58,30,3,8,TS,-5
45,Boaster,astra omen brimstone ,307,1.05,188.3,0.96,78%,111.8,0.64,0.41,0.10,0.12,19%,25%,4/16,20,196,204,125,31,38,FNC,-7
46,garnetS,raze neon jett ,157,1.05,230.0,1.09,71%,152.2,0.82,0.15,0.19,0.11,24%,22%,2/9,21,128,117,24,30,17,TLN,13
47,MOJJ,killjoy viper ,107,1.05,206.8,1.0,67%,138.1,0.69,0.25,0.09,0.09,26%,19%,3/16,20,74,74,27,10,10,SUP,0
48,cauanzin,skye breach ,380,1.05,207.1,1.01,73%,130.8,0.74,0.43,0.09,0.08,23%,23%,6/26,25,280,276,163,35,30,LOUD,5
49,YuChEn,viper ,59,1.05,189.3,0.95,76%,125.4,0.68,0.34,0.05,0.12,34%,,0/10,18,40,42,20,3,7,DRG,-4
50,BuZz,jett raze killjoy ,276,1.04,238.1,1.13,73%,147.9,0.82,0.20,0.20,0.17,20%,15%,3/20,21,227,201,56,55,47,DRX,8
51,jawgemo,jett raze ,89,1.03,220.5,1.08,72%,140.8,0.79,0.19,0.21,0.15,19%,60%,3/5,20,70,65,17,19,13,EG,6
52,SUYGETSU,cypher killjoy viper ,182,1.03,198.2,1.12,74%,135.5,0.69,0.26,0.09,0.05,38%,16%,3/19,18,125,112,48,16,10,NAVI,6
53,ZmjjKK,jett ,71,1.03,238.7,1.24,72%,144.4,0.87,0.15,0.23,0.15,21%,20%,1/5,25,62,50,11,16,11,EDG,5
54,Zellsis,neon phoenix sage ,89,1.03,198.0,0.94,75%,138.3,0.65,0.42,0.08,0.16,19%,13%,1/8,14,58,62,37,7,14,SEN,-7
55,Rb,astra kayo killjoy ,276,1.02,191.6,1.06,73%,126.6,0.68,0.28,0.09,0.08,23%,31%,12/39,22,187,177,77,24,23,TEC,1
56,zeek,kayo killjoy ,42,1.02,220.5,1.0,71%,146.4,0.76,0.33,0.07,0.17,36%,29%,2/7,18,32,32,14,3,7,GN,-4
57,tuyz,harbor brimstone astra ,380,1.02,171.2,0.93,73%,113.2,0.63,0.41,0.04,0.04,30%,17%,9/54,25,238,257,156,16,15,LOUD,1
58,heat,raze neon ,45,1.02,250.0,1.03,67%,164.4,0.82,0.22,0.18,0.22,32%,,0/6,22,37,36,10,8,10,MIBR,-2
59,ANGE1,omen cypher sova ,182,1.02,204.4,1.07,70%,128.2,0.71,0.33,0.12,0.14,34%,,0/8,27,130,122,60,22,26,NAVI,-4
60,Sushiboys,killjoy astra ,157,1.01,187.1,1.01,74%,130.0,0.67,0.20,0.10,0.11,22%,19%,4/21,21,105,104,31,15,17,FS,-2
61,Monyet,astra omen ,58,1.01,213.7,1.1,69%,140.7,0.78,0.26,0.22,0.14,20%,40%,2/5,24,45,41,15,13,8,PRX,5
62,vanity,omen astra killjoy ,89,1.01,167.8,0.83,75%,102.7,0.55,0.61,0.08,0.09,11%,9%,1/11,14,49,59,54,7,8,C9,-1
63,takej,viper ,20,1.00,197.0,1.0,60%,120.5,0.65,0.25,0.10,0.05,42%,60%,3/5,13,13,13,5,2,1,DFM,1
64,Cryocells,omen raze jett ,175,1.00,219.3,1.01,71%,137.5,0.75,0.31,0.13,0.18,18%,,0/13,22,131,130,54,23,32,100T,-9
65,Asuna,sage kayo breach ,175,0.99,200.4,0.87,76%,132.0,0.67,0.43,0.06,0.10,24%,20%,3/15,20,118,135,76,10,17,100T,-7
66,bang,viper astra omen ,175,0.99,200.1,0.98,69%,134.5,0.74,0.34,0.13,0.12,39%,5%,1/21,23,129,131,59,22,21,100T,1
67,stax,kayo fade breach ,276,0.99,194.8,0.97,72%,127.8,0.67,0.37,0.06,0.09,26%,20%,4/20,19,185,191,103,17,24,DRX,-7
68,TenZ,jett sage ,39,0.98,183.5,0.96,62%,122.4,0.67,0.21,0.13,0.15,23%,50%,3/6,14,26,27,8,5,6,SEN,-1
69,Destrian,omen astra harbor ,104,0.98,158.8,0.75,71%,101.4,0.50,0.49,0.07,0.12,26%,,0/11,13,52,69,51,7,12,VIT,-5
